"Tabela 1612 - Área plantada, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias"
"Variável - Área plantada (Hectares)"
"Nível";"Cód.";"UF, Mesorregião, Microrregião e Município, em ordem de código de Meso e Micro, e nome de Município - MT";"Ano x Produto das lavouras temporárias"
"Nível";"Cód.";"UF, Mesorregião, Microrregião e Município, em ordem de código de Meso e Micro, e nome de Município - MT";"2000";;"2001";;"2002";;"2003";;"2004";;"2005";;"2006";;"2007";;"2008";;"2009";;"2010";;"2011";;"2012";;"2013";;"2014";;"2015";;"2016";;"2017";;"2018";;"2019";;"2020";;"2021";;"2022";;"2023"
"Nível";"Cód.";"UF, Mesorregião, Microrregião e Município, em ordem de código de Meso e Micro, e nome de Município - MT";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)"
"MU";"5107008";"      Poxoréu";"41735";"3790";"46171";"3892";"59588";"5259";"118657";"13333";"149402";"8968";"143317";"8192";"71763";"6517";"114499";"16065";"175797";"20670";"169904";"19771";"145520";"14500";"230207";"33234";"250496";"43408";"284477";"43833";"300472";"42627";"329410";"52202";"332331";"54432";"338083";"51139";"374564";"63750";"424157";"69108";"566842";"106534";"966282";"202500";"1275867";"321299";"976867";"171455"
"MU";"5107198";"      Ribeirãozinho";"4444";"25";"2843";"54";"7770";"86";"15286";"82";"24068";"194";"14483";"30";"8850";"45";"12297";"455";"18703";"1918";"21640";"2498";"26335";"2520";"40591";"11081";"55490";"23904";"51399";"10942";"74549";"7322";"85919";"14249";"82105";"16988";"91159";"13782";"95165";"19845";"118648";"28496";"121572";"28612";"327628";"144708";"311018";"52500";"269979";"45546"
"MU";"5108105";"      Tesouro";"9900";"289";"9445";"450";"15192";"912";"29293";"1331";"72650";"3336";"41987";"1628";"25473";"3135";"37953";"4336";"64979";"12041";"63410";"9053";"61483";"5904";"74104";"14477";"84593";"21828";"86122";"18072";"110561";"20700";"97941";"30038";"138686";"31104";"112859";"22650";"104505";"28680";"170074";"45004";"177348";"39390";"338527";"82872";"367367";"82969";"349248";"77764"
"MU";"5108204";"      Torixoréu";"5056";"60";"4126";"56";"7274";"72";"10454";"33";"19444";"90";"10403";"61";"10186";"63";"11090";"103";"21287";"666";"22330";"119";"17718";"435";"19375";"31";"21239";"951";"24506";"1595";"46050";"3024";"47077";"3360";"59581";"2957";"44538";"2993";"40002";"2207";"75981";"7574";"120251";"11956";"218209";"21840";"346412";"34380";"251775";"23595"
"MI";"51021";"    Rondonópolis";"398461";"15610";"501912";"13423";"626514";"26933";"939816";"66387";"1388102";"56680";"1182733";"51133";"684342";"59491";"848166";"76652";"1096781";"99889";"1210776";"100566";"1218426";"88549";"1502943";"175106";"1827684";"333819";"1966575";"264506";"2161057";"263032";"2250931";"410908";"2523098";"478554";"2219424";"356160";"2767672";"471943";"3319081";"630858";"3601975";"675002";"6600551";"1316753";"8101900";"1668875";"6233177";"1035096"
"MU";"5103601";"      Dom Aquino";"34477";"1667";"45570";"2718";"63015";"6126";"103941";"21477";"132156";"12306";"131237";"16425";"91021";"17963";"109246";"15654";"141747";"21037";"156441";"11524";"139893";"11941";"173378";"20859";"222553";"29241";"266326";"20618";"255211";"22131";"300739";"31894";"338912";"34634";"334905";"28440";"411784";"38953";"385318";"40650";"518751";"63495";"850559";"114750";"1027342";"121380";"785035";"62016"
"MU";"5104609";"      Itiquira";"132769";"3748";"158062";"2549";"205022";"5040";"328623";"11023";"532081";"18423";"309847";"5972";"210258";"10850";"266687";"14566";"388496";"22644";"438787";"31831";"493538";"37984";"560085";"77380";"732568";"173241";"796030";"130759";"834432";"121014";"839236";"197080";"997566";"261449";"737901";"180624";"885559";"222720";"1297494";"318492";"1189794";"296700";"2385858";"622080";"3034692";"736160";"2320219";"479530"
"MU";"5104807";"      Jaciara";"42773";"3700";"54037";"3383";"68973";"5216";"103560";"18075";"106498";"7118";"119385";"14218";"90966";"8816";"101834";"14547";"131030";"16738";"147375";"14672";"106498";"12317";"169718";"20655";"203070";"28305";"216961";"25083";"219259";"18662";"253993";"28322";"254859";"32733";"298764";"24266";"350202";"38680";"320585";"34456";"433940";"59345";"719429";"105750";"940936";"163200";"823223";"101199"
"MU";"5105200";"      Juscimeira";"16863";"1622";"18591";"1212";"26544";"1882";"48483";"4090";"82447";"4973";"51457";"6709";"46185";"9718";"65557";"14945";"82741";"15102";"97617";"13676";"65175";"8471";"114914";"17543";"135507";"17207";"147010";"15811";"154216";"17100";"151387";"24938";"155503";"25794";"133356";"18012";"175068";"25380";"194131";"29155";"265173";"50215";"465844";"84600";"514955";"88400";"354970";"47424"
"MU";"5106372";"      Pedra Preta";"74447";"1457";"122693";"1024";"152935";"5119";"192479";"7147";"287754";"9208";"357477";"2807";"136003";"5732";"165088";"4752";"208435";"9128";"202253";"12673";"232561";"7854";"268515";"12643";"273518";"27450";"261574";"32276";"333301";"40654";"316502";"49197";"352201";"51450";"371891";"49883";"460087";"61800";"565376";"93636";"637476";"82500";"1119302";"172500";"1243344";"225960";"946490";"132251"
"MU";"5107602";"      Rondonópolis";"92594";"3238";"99006";"2338";"102688";"3264";"155712";"4311";"239432";"4250";"206147";"4671";"100701";"6248";"112941";"11949";"138962";"15152";"162132";"16063";"176870";"9900";"214108";"25788";"255965";"58162";"275310";"39580";"362757";"42939";"386570";"78810";"415062";"70039";"331065";"51858";"471716";"79999";"541402";"110938";"541488";"116856";"1029618";"206880";"1284554";"324100";"963176";"207207"
"MU";"5107297";"      São José do Povo";"1357";"148";"1183";"168";"1261";"240";"1320";"213";"1779";"346";"2688";"297";"1334";"138";"19766";"200";"728";"43";"416";"104";"368";"67";"447";"184";"565";"173";"486";"167";"433";"142";"448";"127";"540";"188";"457";"135";"440";"180";"486";"248";"503";"225";"1022";"540";"15634";"525";"12363";"435"
"MU";"5107404";"      São Pedro da Cipa";"3179";"29";"2772";"30";"6074";"46";"5698";"50";"5956";"57";"4497";"35";"7874";"26";"7048";"40";"4642";"45";"5755";"24";"3512";"14";"1778";"55";"3940";"41";"2881";"213";"1446";"389";"2055";"540";"8457";"2267";"11088";"2943";"12814";"4230";"14289";"3282";"14849";"5665";"28921";"9653";"40444";"9152";"27701";"5034"
"MI";"51022";"    Alto Araguaia";"146821";"11991";"164905";"12798";"225884";"18780";"389772";"21485";"488396";"15942";"554744";"13961";"275242";"21192";"353043";"40373";"493632";"72296";"461746";"43161";"547207";"35320";"645531";"86747";"726106";"100010";"740953";"102569";"954140";"126148";"1020597";"180114";"1238688";"259502";"964569";"92045";"1079872";"205015";"1471304";"327960";"1469420";"289991";"2897237";"645795";"3800990";"804000";"2629277";"411310"
"MU";"5100300";"      Alto Araguaia";"12256";"1044";"12393";"1458";"23258";"1080";"48096";"2081";"74425";"1402";"70184";"897";"37640";"1800";"32249";"3328";"43642";"4242";"61561";"3028";"54666";"3640";"70271";"8362";"84180";"10901";"101367";"12929";"152020";"13500";"154309";"26310";"172817";"27447";"163841";"20237";"160972";"27600";"260206";"47088";"256932";"46656";"528336";"80640";"655623";"90000";"471439";"39424"
"MU";"5100409";"      Alto Garças";"65766";"2361";"81979";"3564";"104853";"4620";"180214";"5983";"221611";"3039";"224187";"2683";"117376";"7272";"165114";"4893";"230049";"15890";"215611";"18122";"256600";"15345";"274803";"31555";"321421";"38492";"307908";"46637";"359997";"48318";"391049";"68060";"499250";"100299";"404366";"66422";"443183";"84874";"623288";"137340";"637706";"123550";"1200903";"257475";"1568924";"279000";"1100273";"173167"
"MU";"5100607";"      Alto Taquari";"68799";"8586";"70536";"7776";"97775";"13080";"161462";"13421";"192361";"11501";"260375";"10381";"120225";"12120";"155681";"32152";"219942";"52164";"184574";"22011";"235939";"16335";"300456";"46829";"320507";"50618";"331679";"43003";"442123";"64330";"475239";"85744";"566621";"131756";"396361";"5386";"475717";"92541";"587811";"143532";"574782";"119785";"1167999";"307680";"1576443";"435000";"1057564";"198718"
"Fonte: IBGE - Produção Agrícola Municipal"

"Tabela 1612 - Área plantada, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias"
"Variável - Valor da produção - percentual do total geral"
"Nível";"Cód.";"UF, Mesorregião, Microrregião e Município, em ordem de código de Meso e Micro, e nome de Município - MT";"Ano x Produto das lavouras temporárias"
"Nível";"Cód.";"UF, Mesorregião, Microrregião e Município, em ordem de código de Meso e Micro, e nome de Município - MT";"2000";;"2001";;"2002";;"2003";;"2004";;"2005";;"2006";;"2007";;"2008";;"2009";;"2010";;"2011";;"2012";;"2013";;"2014";;"2015";;"2016";;"2017";;"2018";;"2019";;"2020";;"2021";;"2022";;"2023"
"Nível";"Cód.";"UF, Mesorregião, Microrregião e Município, em ordem de código de Meso e Micro, e nome de Município - MT";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)"
"UF";"51";"Mato Grosso";"100,00";"6,42";"100,00";"4,74";"100,00";"8,94";"100,00";"8,69";"100,00";"4,46";"100,00";"6,11";"100,00";"11,05";"100,00";"14,47";"100,00";"15,80";"100,00";"11,62";"100,00";"8,89";"100,00";"13,63";"100,00";"17,45";"100,00";"16,54";"100,00";"11,04";"100,00";"15,66";"100,00";"17,82";"100,00";"16,15";"100,00";"18,47";"100,00";"20,38";"100,00";"24,23";"100,00";"25,40";"100,00";"24,11";"100,00";"19,27"
"ME";"5101";"  Norte Mato-grossense";"100,00";"6,83";"100,00";"4,34";"100,00";"11,00";"100,00";"9,33";"100,00";"4,73";"100,00";"7,20";"100,00";"12,36";"100,00";"17,10";"100,00";"17,86";"100,00";"12,79";"100,00";"9,91";"100,00";"14,73";"100,00";"18,76";"100,00";"18,71";"100,00";"10,51";"100,00";"16,27";"100,00";"19,31";"100,00";"18,08";"100,00";"20,37";"100,00";"22,15";"100,00";"27,06";"100,00";"26,95";"100,00";"27,02";"100,00";"20,16"
"MI";"51001";"    Aripuanã";"100,00";"7,82";"100,00";"7,53";"100,00";"7,90";"100,00";"11,54";"100,00";"3,70";"100,00";"7,30";"100,00";"14,88";"100,00";"9,57";"100,00";"12,86";"100,00";"11,04";"100,00";"6,98";"100,00";"9,78";"100,00";"12,39";"100,00";"13,20";"100,00";"7,94";"100,00";"13,20";"100,00";"11,92";"100,00";"19,23";"100,00";"21,29";"100,00";"25,65";"100,00";"29,01";"100,00";"22,79";"100,00";"25,49";"100,00";"19,54"
"MU";"5101407";"      Aripuanã";"100,00";"14,12";"100,00";"10,00";"100,00";"14,85";"100,00";"49,01";"100,00";"17,28";"100,00";"25,80";"100,00";"31,54";"100,00";"9,65";"100,00";"12,58";"100,00";"10,71";"100,00";"12,10";"100,00";"13,73";"100,00";"10,86";"100,00";"11,67";"100,00";"17,30";"100,00";"25,23";"100,00";"26,28";"100,00";"33,40";"100,00";"33,50";"100,00";"40,03";"100,00";"39,27";"100,00";"41,36";"100,00";"41,93";"100,00";"27,92"
"MU";"5101902";"      Brasnorte";"100,00";"4,10";"100,00";"4,59";"100,00";"1,66";"100,00";"6,12";"100,00";"1,77";"100,00";"4,38";"100,00";"11,90";"100,00";"7,90";"100,00";"12,46";"100,00";"9,79";"100,00";"5,08";"100,00";"9,21";"100,00";"12,46";"100,00";"13,60";"100,00";"7,87";"100,00";"12,97";"100,00";"11,91";"100,00";"19,36";"100,00";"21,46";"100,00";"26,02";"100,00";"29,23";"100,00";"22,19";"100,00";"25,22";"100,00";"18,85"
"MU";"5102850";"      Castanheira";"100,00";"23,93";"100,00";"29,83";"100,00";"22,72";"100,00";"35,80";"100,00";"5,40";"100,00";"17,23";"100,00";"20,88";"100,00";"14,70";"100,00";"14,10";"100,00";"8,21";"100,00";"17,31";"100,00";"28,60";"100,00";"26,43";"100,00";"14,22";"100,00";"3,13";"100,00";"6,98";"100,00";"6,92";"100,00";"2,88";"100,00";"2,83";"100,00";"4,73";"100,00";"3,94";"100,00";"2,15";"100,00";"9,55";"100,00";"5,34"
"MU";"5103254";"      Colniza";"...";"...";"100,00";"13,46";"100,00";"46,65";"100,00";"23,54";"100,00";"8,18";"100,00";"15,86";"100,00";"12,53";"100,00";"10,84";"100,00";"8,88";"100,00";"9,65";"100,00";"7,02";"100,00";"5,07";"100,00";"3,90";"100,00";"5,57";"100,00";"7,87";"100,00";"12,68";"100,00";"4,50";"100,00";"12,19";"100,00";"16,01";"100,00";"17,73";"100,00";"21,03";"100,00";"30,89";"100,00";"29,83";"100,00";"25,50"
"MU";"5103379";"      Cotriguaçu";"100,00";"13,80";"100,00";"8,97";"100,00";"13,31";"100,00";"48,22";"100,00";"31,98";"100,00";"30,52";"100,00";"41,28";"100,00";"28,14";"100,00";"30,73";"100,00";"35,88";"100,00";"48,42";"100,00";"30,10";"100,00";"27,03";"100,00";"13,69";"100,00";"6,56";"100,00";"7,03";"100,00";"9,01";"100,00";"16,55";"100,00";"10,47";"100,00";"17,27";"100,00";"13,12";"100,00";"20,80";"100,00";"23,46";"100,00";"37,20"
"MU";"5105150";"      Juína";"100,00";"33,11";"100,00";"22,00";"100,00";"32,87";"100,00";"42,63";"100,00";"28,44";"100,00";"31,60";"100,00";"30,59";"100,00";"12,03";"100,00";"17,92";"100,00";"31,86";"100,00";"20,69";"100,00";"17,74";"100,00";"16,05";"100,00";"9,30";"100,00";"7,63";"100,00";"16,01";"100,00";"13,28";"100,00";"15,49";"100,00";"16,92";"100,00";"17,05";"100,00";"25,88";"100,00";"23,17";"100,00";"20,10";"100,00";"17,25"
"MU";"5105176";"      Juruena";"100,00";"15,86";"100,00";"15,87";"100,00";"14,38";"100,00";"7,99";"100,00";"8,40";"100,00";"17,68";"100,00";"21,19";"100,00";"24,51";"100,00";"18,19";"100,00";"11,94";"100,00";"8,65";"100,00";"5,48";"100,00";"13,39";"100,00";"3,85";"100,00";"6,07";"100,00";"3,72";"100,00";"5,21";"100,00";"25,27";"100,00";"33,60";"100,00";"34,78";"100,00";"42,30";"100,00";"48,04";"100,00";"49,42";"100,00";"36,01"
"MU";"5107578";"      Rondolândia";"...";"...";"100,00";"31,96";"100,00";"27,75";"100,00";"42,80";"100,00";"27,94";"100,00";"17,16";"100,00";"4,61";"100,00";"33,83";"100,00";"16,52";"100,00";"24,75";"100,00";"17,02";"100,00";"25,13";"100,00";"12,04";"100,00";"2,97";"100,00";"18,47";"100,00";"33,98";"100,00";"14,35";"100,00";"17,31";"100,00";"17,90";"100,00";"14,19";"100,00";"28,64";"100,00";"24,91";"100,00";"7,11";"100,00";"5,83"
"MI";"51002";"    Alta Floresta";"100,00";"12,92";"100,00";"10,67";"100,00";"14,50";"100,00";"18,86";"100,00";"12,98";"100,00";"12,95";"100,00";"22,55";"100,00";"18,06";"100,00";"18,13";"100,00";"8,45";"100,00";"4,16";"100,00";"7,70";"100,00";"3,45";"100,00";"4,55";"100,00";"4,14";"100,00";"10,84";"100,00";"12,02";"100,00";"16,97";"100,00";"22,45";"100,00";"23,01";"100,00";"30,39";"100,00";"22,22";"100,00";"15,75";"100,00";"24,53"
"MU";"5100250";"      Alta Floresta";"100,00";"5,61";"100,00";"10,94";"100,00";"2,25";"100,00";"6,38";"100,00";"2,03";"100,00";"2,15";"100,00";"12,70";"100,00";"11,41";"100,00";"6,42";"100,00";"0,93";"100,00";"3,76";"100,00";"7,00";"100,00";"2,72";"100,00";"4,63";"100,00";"5,03";"100,00";"12,15";"100,00";"12,89";"100,00";"19,69";"100,00";"24,22";"100,00";"24,76";"100,00";"35,11";"100,00";"21,45";"100,00";"15,61";"100,00";"24,99"
"MU";"5100805";"      Apiacás";"100,00";"19,28";"100,00";"10,32";"100,00";"19,21";"100,00";"31,38";"100,00";"31,73";"100,00";"29,58";"100,00";"26,31";"100,00";"9,79";"100,00";"32,68";"100,00";"16,19";"100,00";"11,28";"100,00";"21,87";"100,00";"6,84";"100,00";"4,62";"100,00";"-";"100,00";"-";"100,00";"-";"100,00";"-";"100,00";"-";"100,00";"-";"100,00";"-";"100,00";"24,95";"100,00";"11,92";"100,00";"20,89"
"MU";"5102793";"      Carlinda";"100,00";"9,63";"100,00";"10,31";"100,00";"8,46";"100,00";"14,44";"100,00";"11,17";"100,00";"7,51";"100,00";"13,51";"100,00";"5,90";"100,00";"9,98";"100,00";"6,31";"100,00";"2,12";"100,00";"5,03";"100,00";"2,86";"100,00";"6,43";"100,00";"4,67";"100,00";"12,23";"100,00";"14,24";"100,00";"16,55";"100,00";"26,88";"100,00";"27,45";"100,00";"31,84";"100,00";"28,06";"100,00";"15,44";"100,00";"26,80"
"MU";"5106158";"      Nova Bandeirantes";"100,00";"19,22";"100,00";"14,05";"100,00";"17,92";"100,00";"27,27";"100,00";"18,12";"100,00";"15,45";"100,00";"35,94";"100,00";"26,44";"100,00";"28,57";"100,00";"17,21";"100,00";"7,47";"100,00";"0,66";"100,00";"4,22";"100,00";"3,51";"100,00";"0,38";"100,00";"2,98";"100,00";"0,32";"100,00";"2,22";"100,00";"13,22";"100,00";"11,96";"100,00";"8,32";"100,00";"24,63";"100,00";"12,84";"100,00";"30,44"
"MU";"5108956";"      Nova Monte Verde";"100,00";"29,13";"100,00";"15,52";"100,00";"28,76";"100,00";"45,98";"100,00";"35,71";"100,00";"40,67";"100,00";"46,86";"100,00";"47,76";"100,00";"37,86";"100,00";"24,95";"100,00";"15,03";"100,00";"13,98";"100,00";"10,34";"100,00";"5,19";"100,00";"7,79";"100,00";"10,63";"100,00";"2,17";"100,00";"9,27";"100,00";"6,55";"100,00";"-";"100,00";"-";"100,00";"12,32";"100,00";"16,14";"100,00";"14,63"
"MU";"5106299";"      Paranaíta";"100,00";"15,78";"100,00";"7,89";"100,00";"21,51";"100,00";"19,57";"100,00";"11,45";"100,00";"15,74";"100,00";"12,83";"100,00";"16,05";"100,00";"16,04";"100,00";"7,12";"100,00";"1,59";"100,00";"8,06";"100,00";"0,79";"100,00";"3,10";"100,00";"2,33";"100,00";"8,89";"100,00";"14,28";"100,00";"8,27";"100,00";"14,39";"100,00";"16,65";"100,00";"27,73";"100,00";"23,19";"100,00";"16,94";"100,00";"26,37"
"MI";"51003";"    Colíder";"100,00";"11,55";"100,00";"8,77";"100,00";"11,28";"100,00";"18,26";"100,00";"10,03";"100,00";"8,92";"100,00";"11,49";"100,00";"10,42";"100,00";"20,82";"100,00";"11,30";"100,00";"5,68";"100,00";"10,94";"100,00";"15,20";"100,00";"12,74";"100,00";"6,32";"100,00";"11,38";"100,00";"16,47";"100,00";"15,96";"100,00";"18,08";"100,00";"24,52";"100,00";"36,80";"100,00";"25,60";"100,00";"23,32";"100,00";"21,39"
"MU";"5103205";"      Colíder";"100,00";"13,30";"100,00";"21,06";"100,00";"6,49";"100,00";"13,35";"100,00";"4,30";"100,00";"10,23";"100,00";"17,77";"100,00";"18,49";"100,00";"45,70";"100,00";"36,37";"100,00";"1,03";"100,00";"6,56";"100,00";"14,90";"100,00";"8,26";"100,00";"9,74";"100,00";"13,81";"100,00";"15,93";"100,00";"21,96";"100,00";"16,48";"100,00";"25,46";"100,00";"36,56";"100,00";"25,94";"100,00";"16,59";"100,00";"14,76"
"MU";"5104104";"      Guarantã do Norte";"100,00";"12,85";"100,00";"20,67";"100,00";"30,81";"100,00";"49,72";"100,00";"17,54";"100,00";"15,54";"100,00";"10,12";"100,00";"6,02";"100,00";"12,20";"100,00";"9,68";"100,00";"4,73";"100,00";"7,42";"100,00";"10,89";"100,00";"16,64";"100,00";"4,88";"100,00";"7,05";"100,00";"9,65";"100,00";"9,82";"100,00";"12,28";"100,00";"19,64";"100,00";"33,37";"100,00";"29,44";"100,00";"26,76";"100,00";"17,77"
"MU";"5105606";"      Matupá";"100,00";"12,19";"100,00";"4,51";"100,00";"12,24";"100,00";"10,20";"100,00";"6,29";"100,00";"5,48";"100,00";"7,99";"100,00";"5,88";"100,00";"13,89";"100,00";"10,76";"100,00";"2,30";"100,00";"10,65";"100,00";"6,88";"100,00";"4,39";"100,00";"5,88";"100,00";"12,61";"100,00";"17,22";"100,00";"18,51";"100,00";"18,41";"100,00";"27,34";"100,00";"41,32";"100,00";"34,42";"100,00";"29,25";"100,00";"23,77"
"MU";"5106216";"      Nova Canaã do Norte";"100,00";"11,41";"100,00";"8,51";"100,00";"18,74";"100,00";"18,17";"100,00";"8,10";"100,00";"6,53";"100,00";"9,93";"100,00";"18,13";"100,00";"21,52";"100,00";"13,00";"100,00";"8,03";"100,00";"13,24";"100,00";"26,20";"100,00";"20,53";"100,00";"8,98";"100,00";"12,91";"100,00";"21,33";"100,00";"15,33";"100,00";"15,32";"100,00";"25,84";"100,00";"36,38";"100,00";"22,93";"100,00";"15,62";"100,00";"16,19"
"MU";"5108808";"      Nova Guarita";"100,00";"20,52";"100,00";"14,35";"100,00";"23,64";"100,00";"31,36";"100,00";"28,43";"100,00";"12,39";"100,00";"13,99";"100,00";"18,49";"100,00";"46,19";"100,00";"15,12";"100,00";"6,39";"100,00";"19,85";"100,00";"9,16";"100,00";"17,19";"100,00";"7,46";"100,00";"13,12";"100,00";"14,57";"100,00";"20,71";"100,00";"22,65";"100,00";"21,11";"100,00";"41,79";"100,00";"22,31";"100,00";"26,75";"100,00";"28,14"
"MU";"5106265";"      Novo Mundo";"100,00";"6,56";"100,00";"7,44";"100,00";"3,16";"100,00";"28,68";"100,00";"10,52";"100,00";"12,74";"100,00";"36,50";"100,00";"23,93";"100,00";"26,92";"100,00";"1,57";"100,00";"4,68";"100,00";"8,39";"100,00";"8,91";"100,00";"7,20";"100,00";"4,41";"100,00";"12,96";"100,00";"18,32";"100,00";"15,52";"100,00";"16,01";"100,00";"25,07";"100,00";"34,30";"100,00";"22,64";"100,00";"26,57";"100,00";"23,17"
"MU";"5106422";"      Peixoto de Azevedo";"100,00";"10,47";"100,00";"5,03";"100,00";"7,42";"100,00";"7,26";"100,00";"4,22";"100,00";"4,03";"100,00";"5,35";"100,00";"4,54";"100,00";"14,52";"100,00";"4,85";"100,00";"6,40";"100,00";"6,90";"100,00";"5,18";"100,00";"4,00";"100,00";"3,38";"100,00";"6,67";"100,00";"9,04";"100,00";"12,45";"100,00";"30,61";"100,00";"20,85";"100,00";"33,91";"100,00";"20,03";"100,00";"22,87";"100,00";"24,69"
"MU";"5108055";"      Terra Nova do Norte";"100,00";"13,49";"100,00";"7,88";"100,00";"7,39";"100,00";"13,10";"100,00";"11,01";"100,00";"12,16";"100,00";"11,67";"100,00";"6,45";"100,00";"19,65";"100,00";"26,22";"100,00";"14,02";"100,00";"13,25";"100,00";"8,84";"100,00";"2,92";"100,00";"3,63";"100,00";"7,90";"100,00";"12,31";"100,00";"12,42";"100,00";"13,97";"100,00";"23,49";"100,00";"34,48";"100,00";"25,50";"100,00";"26,03";"100,00";"24,41"
"MI";"51004";"    Parecis";"100,00";"2,64";"100,00";"2,53";"100,00";"13,38";"100,00";"9,60";"100,00";"3,28";"100,00";"6,73";"100,00";"11,31";"100,00";"13,43";"100,00";"17,87";"100,00";"11,54";"100,00";"8,88";"100,00";"11,86";"100,00";"13,86";"100,00";"14,64";"100,00";"9,86";"100,00";"14,26";"100,00";"15,80";"100,00";"15,99";"100,00";"14,67";"100,00";"15,33";"100,00";"16,82";"100,00";"21,95";"100,00";"19,49";"100,00";"12,22"
"MU";"5102637";"      Campo Novo do Parecis";"100,00";"1,56";"100,00";"2,52";"100,00";"1,32";"100,00";"9,43";"100,00";"1,72";"100,00";"4,39";"100,00";"8,22";"100,00";"14,90";"100,00";"23,21";"100,00";"14,85";"100,00";"9,44";"100,00";"11,28";"100,00";"12,10";"100,00";"14,81";"100,00";"10,76";"100,00";"12,28";"100,00";"14,42";"100,00";"18,67";"100,00";"18,79";"100,00";"18,13";"100,00";"18,37";"100,00";"23,36";"100,00";"22,93";"100,00";"8,88"
"MU";"5102686";"      Campos de Júlio";"100,00";"0,98";"100,00";"4,77";"100,00";"5,54";"100,00";"12,65";"100,00";"6,77";"100,00";"9,55";"100,00";"16,97";"100,00";"19,51";"100,00";"20,08";"100,00";"16,32";"100,00";"9,90";"100,00";"16,38";"100,00";"18,50";"100,00";"16,54";"100,00";"15,06";"100,00";"18,71";"100,00";"24,19";"100,00";"21,54";"100,00";"17,27";"100,00";"17,16";"100,00";"18,43";"100,00";"30,38";"100,00";"20,75";"100,00";"17,27"
"MU";"5103304";"      Comodoro";"100,00";"22,38";"100,00";"15,23";"100,00";"7,70";"100,00";"15,22";"100,00";"4,76";"100,00";"12,86";"100,00";"11,29";"100,00";"13,99";"100,00";"23,63";"100,00";"10,31";"100,00";"6,32";"100,00";"6,02";"100,00";"19,15";"100,00";"13,01";"100,00";"8,21";"100,00";"17,66";"100,00";"22,89";"100,00";"21,29";"100,00";"20,31";"100,00";"21,21";"100,00";"25,79";"100,00";"23,02";"100,00";"23,47";"100,00";"21,66"
"MU";"5103502";"      Diamantino";"100,00";"4,06";"100,00";"1,76";"100,00";"2,68";"100,00";"1,82";"100,00";"1,13";"100,00";"5,29";"100,00";"10,54";"100,00";"7,90";"100,00";"12,02";"100,00";"6,68";"100,00";"8,62";"100,00";"8,61";"100,00";"12,59";"100,00";"12,11";"100,00";"6,91";"100,00";"15,36";"100,00";"15,88";"100,00";"13,34";"100,00";"14,78";"100,00";"19,31";"100,00";"22,72";"100,00";"26,63";"100,00";"22,70";"100,00";"16,43"
"MU";"5107875";"      Sapezal";"100,00";"2,95";"100,00";"1,65";"100,00";"30,70";"100,00";"13,90";"100,00";"4,73";"100,00";"8,02";"100,00";"11,23";"100,00";"12,80";"100,00";"15,87";"100,00";"10,21";"100,00";"8,41";"100,00";"12,76";"100,00";"13,51";"100,00";"15,25";"100,00";"8,76";"100,00";"12,71";"100,00";"12,72";"100,00";"12,38";"100,00";"9,44";"100,00";"8,52";"100,00";"9,66";"100,00";"13,11";"100,00";"12,36";"100,00";"7,84"
"MI";"51005";"    Arinos";"100,00";"7,87";"100,00";"4,38";"100,00";"5,02";"100,00";"5,04";"100,00";"3,07";"100,00";"3,89";"100,00";"5,47";"100,00";"8,70";"100,00";"14,45";"100,00";"7,38";"100,00";"5,34";"100,00";"11,92";"100,00";"13,06";"100,00";"15,00";"100,00";"6,63";"100,00";"13,34";"100,00";"17,60";"100,00";"17,02";"100,00";"20,41";"100,00";"22,06";"100,00";"31,59";"100,00";"25,55";"100,00";"28,48";"100,00";"22,34"
