"Tabela 1612 - Área plantada, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias"
"Variável - Área plantada (Hectares)"
"Nível";"Cód.";"UF, Mesorregião, Microrregião e Município, em ordem de código de Meso e Micro, e nome de Município - MT";"Ano x Produto das lavouras temporárias"
"Nível";"Cód.";"UF, Mesorregião, Microrregião e Município, em ordem de código de Meso e Micro, e nome de Município - MT";"2000";;"2001";;"2002";;"2003";;"2004";;"2005";;"2006";;"2007";;"2008";;"2009";;"2010";;"2011";;"2012";;"2013";;"2014";;"2015";;"2016";;"2017";;"2018";;"2019";;"2020";;"2021";;"2022";;"2023"
"Nível";"Cód.";"UF, Mesorregião, Microrregião e Município, em ordem de código de Meso e Micro, e nome de Município - MT";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)"
"MI";"51005";"    Arinos";"88097";"7650";"107602";"10586";"154302";"14054";"174290";"16220";"291812";"29192";"412442";"34730";"341497";"30927";"289196";"43460";"462685";"94066";"364933";"58750";"384506";"62386";"551789";"92828";"630815";"126400";"772847";"192650";"826257";"182700";"904172";"209322";"906404";"220500";"1084305";"351392";"1053742";"327000";"1137476";"362922";"1227934";"422000";"1254370";"425800";"1424183";"534200";"1633726";"637000"
"MU";"5105101";"      Juara";"6261";"2850";"7077";"3700";"5701";"2800";"4091";"2200";"5905";"2530";"3530";"1800";"2825";"1500";"2635";"1200";"3095";"1800";"2167";"1500";"3574";"1200";"4076";"500";"2386";"300";"10356";"1500";"16856";"2500";"43206";"10000";"51056";"10000";"67556";"20000";"68556";"18000";"68765";"16200";"74065";"18000";"83156";"20600";"108246";"32000";"169166";"59000"
"MU";"5108907";"      Nova Maringá";"19075";"1300";"17525";"270";"27037";"850";"51377";"1950";"60345";"5050";"89768";"4100";"74701";"1900";"61150";"5300";"127360";"19125";"116698";"13900";"131372";"20500";"177465";"30000";"170855";"35000";"211945";"45000";"229699";"50000";"227479";"40000";"246669";"58000";"266815";"83600";"271253";"80000";"298205";"91000";"326752";"110000";"309735";"100000";"312410";"110000";"398510";"160000"
"MU";"5106273";"      Novo Horizonte do Norte";"1774";"300";"3627";"1466";"4608";"1956";"3767";"1850";"4035";"2000";"1960";"630";"1313";"600";"1579";"800";"2050";"1440";"401";"150";"881";"450";"336";"100";"380";"100";"514";"100";"1964";"200";"6564";"1810";"8154";"2000";"10174";"3000";"8854";"2000";"7554";"2000";"10354";"2000";"9554";"1200";"8154";"1200";"14854";"3000"
"MU";"5106802";"      Porto dos Gaúchos";"5975";"900";"11512";"1200";"17445";"3650";"18895";"3400";"64509";"10242";"95021";"12300";"47245";"7400";"48471";"14600";"70805";"26650";"23615";"7200";"26798";"4500";"92168";"20000";"101180";"25000";"118080";"30000";"158080";"35000";"219500";"59512";"219565";"60000";"278293";"97109";"271080";"92000";"301916";"103588";"321193";"120000";"313637";"120000";"346320";"137000";"367610";"150000"
"MU";"5107305";"      São José do Rio Claro";"47724";"1100";"55769";"2950";"80284";"2300";"65620";"2600";"84425";"1130";"105069";"5000";"104996";"5627";"98893";"7600";"118337";"14591";"113954";"16000";"133310";"15736";"138915";"10210";"151626";"20000";"162705";"30000";"173195";"30000";"165121";"25000";"159284";"20500";"188799";"51000";"181070";"40000";"203879";"55000";"225850";"70000";"215444";"63000";"250566";"80000";"268510";"85000"
"MU";"5107941";"      Tabaporã";"7288";"1200";"12092";"1000";"19227";"2498";"30540";"4220";"72593";"8240";"117094";"10900";"110417";"13900";"76468";"13960";"141038";"30460";"108098";"20000";"88571";"20000";"138829";"32018";"204388";"46000";"269247";"86050";"246463";"65000";"242302";"73000";"221676";"70000";"272668";"96683";"252929";"95000";"257157";"95134";"269720";"102000";"322844";"121000";"398487";"174000";"415076";"180000"
"MI";"51006";"    Alto Teles Pires";"1299735";"186260";"1359492";"183944";"1700836";"308323";"1967994";"354820";"2242473";"358430";"2436355";"403082";"2362976";"418362";"2560711";"707390";"2703821";"692715";"2621342";"601827";"2807065";"735020";"2866766";"655744";"3210702";"962417";"3578068";"1229552";"3608871";"1081550";"3678031";"1161450";"3829387";"1274772";"4101577";"1582718";"3908727";"1378930";"4217992";"1578063";"4360884";"1655090";"4412614";"1736930";"4594243";"1847530";"4741598";"1929210"
"MU";"5104526";"      Ipiranga do Norte";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"207104";"45450";"180215";"36285";"169292";"42900";"232533";"65000";"238274";"60250";"257841";"70000";"225777";"61100";"252117";"70000";"262676";"83300";"274631";"75000";"285456";"85000";"294556";"88000";"361562";"120000";"344704";"100500";"381500";"138500";"409184";"150000";"421194";"165000";"444536";"175000";"452512";"180000"
"MU";"5104542";"      Itanhangá";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"74546";"9000";"50861";"3090";"59494";"20868";"62996";"15280";"69530";"17750";"77750";"22150";"72380";"15000";"90745";"25000";"99830";"22000";"106730";"20000";"112630";"22000";"113930";"18000";"139130";"40000";"139630";"37500";"161315";"56000";"175035";"60000";"171835";"50000";"185778";"60000";"217013";"85000"
"MU";"5105259";"      Lucas do Rio Verde";"258458";"71000";"273635";"77466";"314204";"122500";"357324";"140000";"340623";"100290";"382847";"146248";"384864";"147057";"412343";"175073";"409055";"160480";"378567";"138000";"420914";"165800";"395240";"135330";"420445";"165263";"443154";"180440";"439325";"142000";"437459";"160450";"452874";"180450";"439575";"183075";"442511";"172600";"450757";"165600";"447561";"150000";"460306";"170000";"455236";"163000";"459060";"165000"
"MU";"5105903";"      Nobres";"9653";"2000";"6068";"2000";"6644";"2020";"8002";"1100";"8366";"1350";"39425";"4044";"18764";"2310";"12974";"2700";"14115";"2800";"12092";"1467";"12880";"1800";"23489";"5090";"31051";"8122";"35634";"10630";"57975";"18500";"53562";"10300";"65754";"21935";"64208";"21241";"56714";"17990";"64871";"23230";"69964";"24680";"70253";"24280";"80100";"30030";"86449";"29210"
"MU";"5106224";"      Nova Mutum";"240163";"25800";"203282";"16833";"237443";"25300";"350850";"68580";"434418";"83200";"459855";"70240";"416048";"52517";"446315";"101333";"453512";"78750";"440478";"86500";"448215";"90000";"468333";"80500";"531165";"125400";"623590";"202200";"616577";"175150";"617803";"180150";"680572";"236887";"695542";"272743";"669607";"236750";"702436";"260000";"717689";"290000";"711323";"286000";"741321";"306500";"770875";"320000"
"MU";"5106240";"      Nova Ubiratã";"122577";"8050";"75301";"3200";"150105";"6500";"160875";"5440";"225847";"15890";"270925";"17000";"275053";"34595";"290820";"63070";"300070";"50800";"338117";"62000";"349356";"75000";"376118";"79594";"415174";"106712";"514070";"170827";"544152";"162000";"580320";"190000";"601870";"183600";"607614";"205404";"597155";"202000";"702298";"274861";"784078";"315000";"741912";"302650";"782323";"331000";"803123";"340000"
"MU";"5107768";"      Santa Rita do Trivelato";"...";"...";"77020";"6990";"105198";"15283";"111400";"18500";"174384";"20200";"158770";"10600";"189701";"20606";"195384";"35000";"198992";"41365";"176551";"25160";"185666";"38000";"217713";"35000";"237008";"66500";"253320";"75000";"262280";"72000";"262986";"70000";"263616";"70000";"275760";"110840";"259902";"85740";"278727";"95500";"298080";"103500";"288500";"95000";"308428";"115000";"321000";"120000"
"MU";"5107925";"      Sorriso";"504840";"55780";"512560";"45455";"588162";"81120";"623346";"56200";"714848";"101000";"664489";"60500";"713262";"95166";"810139";"228266";"847869";"235240";"809349";"182000";"875839";"230120";"875716";"211030";"1015955";"350420";"1098874";"413900";"1065371";"371800";"1084165";"396950";"1105300";"422800";"1205627";"529320";"1093477";"432000";"1163248";"468622";"1139478";"466510";"1225091";"544000";"1217301";"535000";"1217801";"535000"
"MU";"5108006";"      Tapurah";"164044";"23630";"211626";"32000";"299080";"55600";"356197";"65000";"343987";"36500";"178394";"40000";"134208";"26736";"163950";"38180";"184679";"43000";"158384";"28700";"178604";"42150";"212000";"33100";"217042";"45000";"246920";"71255";"241830";"45100";"243650";"46600";"250915";"53100";"312559";"100095";"305027";"93850";"312840";"95750";"319815";"95400";"322200";"100000";"379220";"132000";"413765";"155000"
"MI";"51007";"    Sinop";"111887";"11382";"143085";"15727";"174255";"19586";"231831";"30814";"434330";"51696";"618821";"60820";"441017";"43560";"404693";"81990";"496946";"111431";"527960";"95420";"635922";"169790";"626127";"143490";"847966";"269941";"973902";"316541";"1026763";"312820";"1099350";"332253";"1178123";"371000";"1278722";"456870";"1292956";"469161";"1420706";"530318";"1489016";"572975";"1560111";"590000";"1731606";"703000";"1911566";"822800"
"MU";"5103056";"      Cláudia";"9230";"900";"8356";"1070";"14712";"1500";"26355";"3087";"35498";"3739";"69397";"6750";"36882";"3700";"25646";"3200";"42717";"12501";"42872";"8200";"67236";"18200";"69055";"17900";"86181";"29419";"104168";"33383";"121625";"35000";"143520";"46160";"168600";"55000";"177820";"65000";"153747";"57811";"178042";"71900";"174920";"69000";"171990";"61000";"195460";"86000";"200260";"88000"
"MU";"5103700";"      Feliz Natal";"3232";"460";"4885";"855";"6080";"550";"6103";"1220";"28188";"100";"52184";"700";"42753";"1900";"60439";"6300";"46619";"8200";"60159";"10900";"70039";"16050";"70280";"15040";"107989";"30000";"140593";"49114";"167418";"55370";"189305";"50000";"192950";"60000";"196835";"65200";"203530";"75000";"237895";"89700";"247475";"97980";"224640";"82000";"265190";"115000";"277488";"122000"
